Kategori,Alt Kategori,Ürün Grubu,Kategori Komisyon %,Seviye 5 Komisyon %,Seviye 4 Komisyon %,Kadın Girişimci Komisyon %
Çocuk,Oyuncak,Çocuk Kask ve Güvenlik,13.00%,9.00%,9.00%,2.60%
Çocuk,Oyuncak,Çocuk Kaykay ve Scooter,13.00%,9.00%,9.00%,2.60%
Çocuk,Oyuncak,Çocuk Puzzle / Yapboz,16.50%,13.50%,13.50%,3.30%
Çocuk,Oyuncak,Deniz ve Plaj Oyuncakları,16.50%,13.50%,13.50%,3.30%
Çocuk,Oyuncak,Figür Oyuncaklar,16.50%,13.50%,13.50%,3.30%
Çocuk,Oyuncak,Kutu Oyunları,16.50%,13.50%,13.50%,3.30%
Çocuk,Oyuncak,Lego & Yapı Oyuncakları,16.50%,13.50%,13.50%,3.30%
Çocuk,Oyuncak,Onarılmış Çocuk Bisikleti,3.50%,,,
Çocuk,Oyuncak,Oyuncak Bebek ve Aksesuarları,16.50%,13.50%,13.50%,3.30%
Çocuk,Oyuncak,Oyuncak Silah ve Bahçe Oyuncakları,16.50%,13.50%,13.50%,3.30%
Çocuk,Oyuncak,Pedallı Araçlar,16.50%,13.50%,13.50%,3.30%
Çocuk,Oyuncak,Şişme Havuz & Aksesuarları,16.50%,13.50%,13.50%,3.30%
Dijital Kod & Ürünler,Dijital Kod & Ürünler,Abonelikler,10.17%,,,
Dijital Kod & Ürünler,Dijital Kod & Ürünler,Dijital Hediye Kartları,5.00%,,,
Dijital Kod & Ürünler,Dijital Kod & Ürünler,Dijital Yayın Paketleri,10.17%,,,
Dijital Kod & Ürünler,Dijital Kod & Ürünler,Hizmet Paketleri,10.17%,,,
Dijital Kod & Ürünler,Dijital Kod & Ürünler,Ön Ödemeli Kartlar,10.17%,,,
Dijital Kod & Ürünler,Dijital Kod & Ürünler,Online Eğitim Uygulamaları,10.17%,,,
Dijital Kod & Ürünler,Dijital Kod & Ürünler,Oyun İçi Bakiyeler,7.50%,,,
E-Kitap Okuyucu,E-Kitap Okuyucu,E-Kitap Okuyucu,9.50%,6.00%,6.00%,1.90%
Elektronik,Beyaz Eşya & TV,Ankastre ve Fırınlar,14.00%,10.00%,11.00%,2.80%
Elektronik,Beyaz Eşya & TV,Beyaz Eşya Yedek Parça,18.00%,16.00%,16.00%,3.60%
Elektronik,Beyaz Eşya & TV,Buzdolabı ve Çamaşır Makinesi,11.00%,8.50%,9.50%,2.20%
Elektronik,Beyaz Eşya & TV,Televizyon,8.00%,6.50%,7.50%,1.60%
Elektronik,Bilgisayar Grubu,Anakart ve İşlemci,10.00%,6.50%,7.50%,2.00%
Elektronik,Bilgisayar Grubu,Bilgisayar Yedek Parça,15.50%,12.00%,13.00%,3.10%
