Kategori,Alt Kategori,Ürün Grubu,Kategori Komisyon %,Seviye 5 Komisyon %,Seviye 4 Komisyon %,Kadın Girişimci Komisyon %
Süpermarket,Bebek Bakım,Bebek Güneş Kremi,17.29%,13.90%,,3.46%
Süpermarket,Bebek Bakım,Bebek Islak Mendil,11.19%,8.48%,,2.24%
Süpermarket,Bebek Bakım,Bebek Kremi ve Yağı,17.29%,13.90%,,3.46%
Süpermarket,Bebek Bakım,Bebek Şampuanı,17.29%,13.90%,,3.46%
Süpermarket,Bebek Beslenme,Bebek Maması,14.24%,12.54%,,2.85%
Süpermarket,Bebek Beslenme,Bebek Sütü,14.24%,11.19%,,2.85%
Süpermarket,Ev Bakım,Bebek Deterjanı,12.20%,10.17%,,2.44%
Süpermarket,Ev Bakım,Bulaşık Makinesi Deterjanı,12.20%,9.49%,,2.44%
Süpermarket,Ev Bakım,Bulaşık Yıkama,12.20%,9.49%,,2.44%
Süpermarket,Ev Bakım,Çamaşır Deterjanı,12.20%,9.15%,,2.44%
Süpermarket,Ev Bakım,Çamaşır Yıkama Ürünleri,12.20%,9.15%,,2.44%
Süpermarket,Ev Bakım,Elde Bulaşık Deterjanı,12.20%,9.49%,,2.44%
Süpermarket,Ev Bakım,Ev Temizlik Gereçleri,12.20%,10.51%,,2.44%
Süpermarket,Ev Bakım,Islak Mendil,11.19%,8.82%,,2.24%
Süpermarket,Ev Bakım,Kağıt Havlu,12.20%,9.49%,,2.44%
Süpermarket,Ev Bakım,Kağıt Peçete,12.20%,9.49%,,2.44%
Süpermarket,Ev Bakım,Paspas ve Mop,13.22%,11.53%,,2.64%
Süpermarket,Ev Bakım,Temizlik Ürünleri,12.20%,10.17%,,2.44%
Süpermarket,Ev Bakım,Tuvalet Kağıdı,12.20%,9.49%,,2.44%
Süpermarket,Gıda,Atıştırmalık ve Kuru Gıda,15.25%,12.88%,,3.05%
Süpermarket,Gıda,Bardak Poşet Çay,15.25%,12.54%,,3.05%
Süpermarket,Gıda,Çikolata,12.20%,10.17%,,2.44%
Süpermarket,Gıda,Demlik Poşet Çay,12.20%,10.17%,,2.44%
Süpermarket,Gıda,Diğer Gıda,15.25%,12.54%,,3.05%
Süpermarket,Gıda,Dökme Çay,8.14%,6.24%,,1.63%
Süpermarket,Gıda,Enerji İçeceği,15.25%,12.54%,,3.05%
Süpermarket,Gıda,Filtre ve Çekirdek Kahve,12.20%,10.17%,,2.44%
Süpermarket,Gıda,Granül Kahve,12.20%,10.17%,,2.44%
Süpermarket,Gıda,Gurme & Organik,15.25%,12.54%,,3.05%
Süpermarket,Gıda,Hazır Noodle,15.25%,12.54%,,3.05%
Süpermarket,Gıda,Helva,15.25%,12.88%,,3.05%
Süpermarket,Gıda,Kapsül Kahve,12.20%,10.17%,,2.44%
Süpermarket,Gıda,Krem Çikolata,12.20%,10.17%,,2.44%
Süpermarket,Gıda,Küvertür Çikolata,12.20%,10.17%,,2.44%
Süpermarket,Gıda,Özel Ezme,15.25%,12.88%,,3.05%
Süpermarket,Gıda,Peynir,8.14%,7.12%,,1.63%
Süpermarket,Gıda,Polen ve Propolis,15.25%,12.54%,,3.05%
Süpermarket,Gıda,Sıvı Yağ,8.14%,6.10%,,1.63%
Süpermarket,Gıda,Sürülebilir Çikolata,12.20%,10.17%,,2.44%
Süpermarket,Gıda,Tahin,15.25%,12.88%,,3.05%
Süpermarket,Gıda,Ton Balığı,15.25%,12.54%,,3.05%
Süpermarket,Gıda,Türk Kahvesi,10.17%,7.80%,,2.03%
Süpermarket,Gıda,Zeytinyağı,10.17%,7.80%,,2.03%
Süpermarket,Pet Shop,Diğer Petshop,18.31%,15.94%,,3.66%
Süpermarket,Pet Shop,Kedi Konserve Maması,15.25%,12.88%,,3.05%
Süpermarket,Pet Shop,Kedi Kumu,15.25%,12.88%,,3.05%
Süpermarket,Pet Shop,Kedi ve Köpek Maması,15.25%,12.88%,,3.05%
Süpermarket,Pet Shop,Kedi Vitamini,18.31%,15.94%,,3.66%
Süpermarket,Sağlık,Cinsel Sağlık,17.29%,15.26%,,3.46%
Süpermarket,Sağlık,Genel Sağlık,17.29%,14.24%,,3.46%
Süpermarket,Sağlık,Gıda Takviyesi,17.29%,14.92%,,3.46%
Süpermarket,Sağlık,Hasta Bezi,17.29%,14.24%,,3.46%
Süpermarket,Sağlık,Medikal Maske,15.25%,11.86%,,3.05%
Süpermarket,Sağlık,Sporcu Besini,17.29%,14.24%,,3.46%
